OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-1187,2020-012AT,2025-04-20T22:00:01.999584,15.77244984,.0001988,53.0448,318.5859,153.8341,156.4727,0,U,45219,999,600,.10664E-2,.181805E-2,0
STARLINK-1191,2020-012AW,2025-04-20T18:03:06.872832,15.06408062,.0002073,53.0551,16.3380,67.6990,292.4219,0,U,45222,999,28672,.11011E-2,.16161E-3,0
STARLINK-1212,2020-012AX,2025-04-20T00:58:51.386592,15.06400460,.0001564,53.0546,20.1817,94.4750,265.6418,0,U,45223,999,28661,.34354E-3,.4839E-4,0
STARLINK-1215,2020-012AZ,2025-04-20T17:25:58.079424,15.06424042,.0001332,53.0552,16.4545,85.6062,274.5079,0,U,45225,999,28667,.81828E-3,.11936E-3,0
STARLINK-1217,2020-012BA,2025-04-20T17:36:35.396064,15.06425476,.0001515,53.0563,16.4195,74.8539,285.2618,0,U,45226,999,28663,.94725E-3,.13865E-3,0
STARLINK-1221,2020-012BB,2025-04-20T15:51:37.427040,15.31447604,.0006477,53.0718,346.6138,78.6423,281.5305,0,U,45227,999,28706,.5735E-3,.17342E-3,0
STARLINK-1222,2020-012BC,2025-04-20T18:13:44.225760,15.06426980,.0001559,53.0557,16.3064,77.0427,283.0736,0,U,45228,999,28661,.10541E-2,.15465E-3,0
STARLINK-1226,2020-012BD,2025-04-20T01:25:17.155776,15.06409779,.0001607,53.0553,19.4493,81.6617,278.4555,0,U,45229,999,28651,.13619E-2,.20067E-3,0
STARLINK-1227,2020-012BE,2025-04-20T01:19:59.037024,15.06394780,.0001586,53.0561,19.4691,94.7452,265.3718,0,U,45230,999,28663,.47237E-3,.676E-4,0
STARLINK-1238,2020-012BH,2025-04-20T18:36:16.200864,15.06396164,.0001612,53.0556,36.2220,115.8258,244.2897,0,U,45233,999,28643,.40169E-3,.5706E-4,0
STARLINK-1246,2020-012BK,2025-04-20T20:47:39.193440,15.06417755,.0001654,53.0562,55.8285,89.0038,271.1141,0,U,45235,999,28620,.27967E-3,.3888E-4,0
STARLINK-1247,2020-012BL,2025-04-20T01:14:39.257664,15.06433327,.0001153,53.0548,19.4861,100.2619,259.8500,0,U,45236,999,28661,.13353E-2,.19682E-3,0
STARLINK-1270,2020-012BM,2025-04-19T17:48:48.972672,15.06403552,.0001529,53.0548,20.8743,76.8092,283.3067,0,U,45237,999,28657,.87529E-3,.12781E-3,0
